intern,DatasetID,Warning Message,Error Message,has_visualization,No papers linked - hard to find other data,"Multiple Papers linked, none match NEMAR",HED anotation,Participants,Age range,Dataset size,Number of files,Number of sessions, Scans/session,Type of subjects,Format,Modality,additional modality,EEG Modality,MEG Modality,iEEG modality,Has MRI,Has EOG,Has Behavioral,Has fMRi,Has EcOg,Has DBS,Has SMI,Has EMG,Has TMS,Has ECG,Has SEEG,Has VEOG,Has fNIRS,Has Blood Tests,Eye tracking,Other (put in name),EEG channels,10-20,MEG channels,ECG channels,Ecog channels,EMG channels,EOG channels,MEG REF channels,SEEG channel,Trigger,Misc Channels,Type of data,Modality of experiment,FOR FIGURE - modality of exp,Type of experiment,FOR FIGURE - type of exp,Tasks,Paper of Interest,BIDS version,First author state,Author country,Authors from multiple institutions,Authors from multiple institutions in different state/country,Published date,Uploaded by,Date last update,Dataset DOI,References and links,License,On Brainlife.org,Funding,Ethics Approvals,IRB
Peter,ds005095,n/a,,,,,No,48,19-32,14.3 GB,485,1,0,healthy right handed adults,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,continuous,visual,Visual,memory,Memory,STERNBERG,,1.7.0,Moscow,Russia,Y,N,2024-04-19 22:01:11,Natalia Zhozhikashvili,,doi:10.18112/openneuro.ds005095.v1.0.1,,CC0,FALSE,,Ethics committee of the Psychological Institute of Russian Academy of Education,
Peter,ds004809,n/a,,,,,No,258,18-65,477.2 GB,7226,10,0,, .edf,iEEG,behavioral,,,X,,,X,,,,,,,,,,,,,,,,,,140,,,,22,,,continuous,Visual,Visual,Memory (free recall),Memory,catFR1,,1.7.0,Pennsylvania,United States,N,N,2023-10-20 0:10:03,Haydn Herrema,,doi:10.18112/openneuro.ds004809.v2.2.0,,CC0,FALSE,DARPA RAM: N66001-14-2-4032 ===NEMAR-SEP=== NIH: R01-NS-106611 ===NEMAR-SEP=== NIH: U01-NS-113198,,
Peter,ds005106,n/a,,,,,No,42,1.8-11.5 (months),1.2 GB,133,1,3,infants,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,continuous,visual,Visual,attentional,Attention,fix,,1.9.1,Sydney,Australia,Y,Y,2024-04-26 5:35:07,Tijl Grootswagers,,doi:10.18112/openneuro.ds005106.v1.0.2,https://osf.io/preprints/psyarxiv/dzrkq ===NEMAR-SEP=== https://doi.org/10.31234/osf.io/dzrkq,CC0,FALSE,,,
Peter,ds005114,n/a,,,,,No,91,18-55,55.9 GB,1796,3,1,participants with sub-acute mild TBI,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,65,continuous,neurophysiology,Visual,attentional,Attention,DPX,,1.1.1,New Mexico,USA,N,N,2024-04-29 20:16:29,James F Cavanagh,,doi:10.18112/openneuro.ds005114.v1.0.0,DOI: 10.1007/s11682-019-00171-y,CC0,FALSE,,,
Peter,ds005131,n/a,,FALSE,,,No,58,20-33,22.3 GB,715,2,0,healthy,".eeg, .vhdr, .vmrk",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,64,other,,,,,,,,,,continuous,audio,Auditory,attentional,Attention,deviantdetection,https://nemar.org/dataexplorer/detail?dataset_id=ds005131,1.7.0,New York,USA,Y,Y,2024-05-10 18:56:23,Ole Bialas,,doi:10.18112/openneuro.ds005131.v1.0.0,,CC0,FALSE,,,
Peter,ds005131,n/a,,FALSE,,,No,58,20-33,22.3 GB,715,2,0,healthy,".eeg, .vhdr, .vmrk",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,64,other,,,,,,,,,,continuous,audio,Auditory,working memory/attention,Memory,oneback,https://nemar.org/dataexplorer/detail?dataset_id=ds005131,1.7.0,New York,USA,Y,Y,2024-05-10 18:56:23,Ole Bialas,,doi:10.18112/openneuro.ds005131.v1.0.0,,CC0,FALSE,,,
Peter,ds004977,n/a,,,,,No,4,16-19,1.5 GB,4459,1,4,,".tdat, .tidx, .tmet, .mefd, .segd, .timd",iEEG,n/a,,,X,,,,,,,,,,,,,,,,,,,,1,,,,,255,,17,continuous,neurophysiology,Stimulation,Electrical Stimulation,Neuroimaging,Cortico Cortical Evoked Potentials,,v 1.14.0,Rochester,Minnesota,N,N,2024-05-13 17:39:02,Harvey Huang,,doi:10.18112/openneuro.ds004977.v1.2.0,https://doi.org/10.48550/arXiv.2310.00185,CC0,FALSE,R01 MH122258 CRCNS: Processing speed in the human connectome across the lifespan ===NEMAR-SEP=== T32 GM145408: Medical Scientist Training Program at Mayo Clinic ===NEMAR-SEP=== 937450: AES Predoctoral Research Fellowship,,
Peter,ds005169,n/a,,,,,No,20,18-47,4 GB,1165,16,0,patients undergoing stero-EEG presurgical evaluation for drug resistant epilepsy,".eeg, .nii, .vhdr, .vmrk","iEEG, MRI",n/a,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,29,,,"Visual, Spatial, Emotional",single pulse electrical stimulation,Stimulation,CCEP study,perception,dcs,,1.9.0,Bucharest,Romani,N,N,2024-05-22 11:05:49,Andrei Barborica,,doi:10.18112/openneuro.ds005169.v1.0.0,"Barborica A, Oane I, Donos C, Daneasa A, Mihai F, Pistol C, Dabu A, Roceanu A, Mindruta I. Imaging the effective networks associated with cortical function through intracranial high-frequency stimulation. Hum Brain Mapp. 2022 Apr 1;43(5):1657-1675. doi: 10.1002/hbm.25749.",CC0,FALSE,Romanian UEFISCDI PN-III-P4-ID-PCE-2020-0935,Bucharest University CEC 45/11.06.2020,
Peter,ds005189,n/a,,,,,No,30,18-34,16.1 GB,185,1,0,healthy with normal vision,".EDF, .eeg, .vhdr, .vmrk",EEG,"behavioral, eye tracking",X,,,,,X,,,,,,,,,,,,X,,61,,,,,,1,,,,,continuous,visual,Visual,memory,Memory,SearchSupRecFam,,1.9.0,Frankfurt,Germany,N,N,2024-05-28 6:57:01,Jason Helbing,,doi:10.18112/openneuro.ds005189.v1.0.1,,CC0,FALSE,,"Ethics committee of the Faculty of Psychology and Sports Sciences, Goethe University Frankfurt (ethics approval ID 2014-106R1)",
Peter,ds005207,n/a,,,,,No,20,avg age 34.9 (SD +/- 13.8 yrs),28.5 GB,223,1,0,healthy from general public,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,6,,,5,,5,3,,,,,continuous,neurophysiology,Sleep,sleep,Neuroimaging,Sleep,,1.7.0,Aarhus,Denmark,Y,Y,2024-06-01 19:05:41,kaare mikkelsen,,doi:10.18112/openneuro.ds005207.v1.0.0,,CC0,FALSE,,,
Peter,ds004582,n/a,,,,,No,73,21-40,294.2 GB,881,1,1,healthy fluent in English,".eeg, .vhdr, .vmrk",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,59,,,,,,4,,,,1,continuous,visual,Visual,emotion,Affect,FF,,1.6.0,Singapore,Singapore,Y,Y,2024-06-05 14:38:29,An Shu Te,,doi:10.18112/openneuro.ds004582.v1.0.0,,CC0,FALSE,,NTU-IRB-2022-187,
Peter,ds005234,n/a,,,,,No,74,6-13,165.5 GB,1829,1,7,children with autism spectrum disorders and typically developing children,.fif,"MEG, MRI",anatomical landmarks,,X,,X,,,,,,,,,,,,,,,anatomical landmarks,,,306,1,,9,,,,1,11,continuous,audio,Auditory,attentional,Attention,"vowels, noise",,1.7.0,Moscow,Russia,N,N,2024-06-08 10:01:15,Kirill Fadeev,,doi:10.18112/openneuro.ds005234.v2.1.5,https://doi.org/10.1101/2024.06.24.600191,CC0,FALSE,The state assignment of the Ministry of Education of the Russian Federation (N 073-00037-24-01),,
Peter,ds005262,n/a,,,,,No,12,,0.673 GB,561,21,0,healthy fluent in arabic,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,continuous,visual,Visual,inner speech  ,other,inner speech task,,1.9.0,Giza,Egypt,Y,Y,2024-06-17 18:11:35,Antony Emil,,doi:10.18112/openneuro.ds005262.v1.0.0,,CC0,FALSE,,,
Peter,ds005273,n/a,,,,,No,33,mean age 22,44.4 GB,324,1,0,"healthy, right handed, and normal vision",".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,continuous,visual,Visual,decision - conscious and unconscious information representations,Decision-making,gabor stimulus,https://osf.io/preprints/psyarxiv/mnfpv,1.7.0,Grenada,Spain,N,N,2024-06-22 16:40:07,Pablo Rodríguez-San Esteban,,doi:10.18112/openneuro.ds005273.v1.0.0,,CC0,FALSE,,,
Peter,ds005279,n/a,,,,,No,30,,58.9 GB,1590,1,5,"young, healthy","acq, .bak, .cfg, .cls, .de, .dsc, .hc, .hist, .infods, .meg4, .mrk, .newds, .nii, .res4, .ds","MEG, MRI","behavioral, anatomical landmarks",,X,,X,,X,,,,,,,,,,,,,anatomical landmarks,,,,,,,,,,,,continuous,visual,Visual,"word retrieval, lexical representation",Memory,picture-word interference task,,1.9.0,Toronto,Canada,Y,Y,2024-06-25 16:13:19,Tiana Wei,,doi:10.18112/openneuro.ds005279.v1.0.3,,CC0,FALSE,This research was supported by NSERC Discovery Grant RGPIN-2019-06515,,
Peter,ds004587,n/a,,,,,No,103,21-40,219.3 GB,1605,1,7,healthy,".eeg, .vhdr, .vmrk",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,59,,,,,,4,,,,1,continuous,visual,Visual,decision,Decision-making,IG,,1.6.0,Brighton,UK,Y,Y,2024-06-28 11:20:39,An Shu Te,,doi:10.18112/openneuro.ds004587.v1.0.0,,CC0,FALSE,,,
Peter,ds005296,n/a,,,,,No,62,18-59,8.5 GB,317,1,0,healthy,".fdt, .set",EEG,n/a,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,continuous,"visual, audio",Multisensory,Categorization task,Decision-making,sentencesemanticandsyntacticviolations,,1.8.0,California,USA,N,N,2024-06-28 23:25:07,Emily M. Akers,,doi:10.18112/openneuro.ds005296.v1.0.0,,CC0,FALSE,,,
Peter,ds004980,n/a,,,,,No,17,19-31,15.8 GB,107,1,0,healthy,".eeg, .vhdr, .vmrk",EEG,n/a,X,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,continuous,visual,Visual,Affordance perception,Perception,DefaultTask,,unofficial extension,Illinois,USA,Y,Y,2024-07-03 13:13:08,??,,doi:10.18112/openneuro.ds004980.v1.0.0,unpublished,CC0,FALSE,China Scholarship Council,,
Peter,ds005305,n/a,,,,,No,165,18-36,6.4 GB,1161,1,0,healthy,".fdt, .iqdat, .set",EEG,behavioral,X,,,,,X,,,,,,,,,,,,,,64,,,,,,,,,,,continuous,visual,Visual,decision,Decision-making,Resting-State,,1.8.0,Toulouse,France,Y,Y,2024-07-04 8:07:00,Quentin Chenot,,doi:10.18112/openneuro.ds005305.v1.0.1,https://osf.io/zfhcn/,CC0,FALSE,,,
Peter,ds002720,n/a,,TRUE,,,No,18,18-28,0.003 TB,828,1,10,Healthy,.edf,EEG,n/a,X,,,,,,,,,,,,,,,,,,,19,10-20,,,,,,,,,,continuous,Auditory,Auditory,Emotion,Affect,Run,,1.0.2,Colchester,UK,Y,Y,2020-04-24 15:25:17,Ian Daly,,10.18112/openneuro.ds002720.v1.0.1,,CC0,TRUE,,,
Kayla,ds002721,n/a,,TRUE,,,No,31,18 - 66,0.004 TB,929,1,6,healthy,.edf,EEG,Survey (likert scale on emotions),X,,,,,,,,,,,,,,,,,,Survey (likert scale on emotions),19,10-20,,,,,,,,,,continuous,Audio,Auditory,Emotion,Affect,Run,,1.0.2,Colchester,UK,y,n,2020-04-24 15:27:04,Ian Daly,,10.18112/openneuro.ds002721.v1.0.2,,CC0,TRUE,,,
Kayla,ds002722,n/a,,TRUE,,,No,19,19 - 30,0.007 TB,582,1,5,healthy,.edf,"channels, eeg, events","galvanic skin response (GSR) and electrocardiogram (ECG), Survey",X,,,,,,,,,,,,,,,,,,"galvanic skin response (GSR) and electrocardiogram (ECG), Survey",32,10-20,,1,,,,,,,4,continuous,Audio,Auditory,Emotion,Affect,Run,,1.0.2,Colchester,UK,y,n,2020-04-24 15:28:26,Ian Daly,,10.18112/openneuro.ds002722.v1.0.1,,CC0,TRUE,,,
Kayla,ds002723,n/a,,TRUE,,,No,8,19 - 30,0.003 TB,204,1,6,healthy,.edf,"channels, eeg, events",,X,,,,,,,,,,,,,,,,,,,32,10-20,,1,,,,,,,4,continuous,Audio,Auditory,Emotion,Affect,Run,,1.0.2,Colchester,UK,y,n,2020-04-24 15:29:36,Ian Daly,,10.18112/openneuro.ds002723.v1.1.0,,CC0,TRUE,,,
Kayla,ds002724,n/a,,TRUE,,,No,10,19-24,0.009 TB,700,3,4,healthy,.edf,"channels, eeg, events",,X,,,,,,,,,,,,,,,,,,,32,10-20,,1,,,,,,,4,continuous,Audio,Auditory,Emotion,Affect,Run,,1.0.2,Colchester,UK,y,n,2020-04-24 15:31:22,Ian Daly,,10.18112/openneuro.ds002724.v1.0.1,,CC0,TRUE,,,
Kayla,ds002725,n/a,,TRUE,,,No,21,20-29,0.016 TB,1098,1,0,"healthy and right handed (with normal or corrected to normal vision, with normal hearing, and if they did not have psychological or neurological health problems)",.edf,"T1w, channels, eeg, events, bold","fMRI, questionarre",X,,,,,,X,,,,,,,,,,,,,30,10-20,,1,,,,,,,,continuous,Audio,Auditory,Emotion,Affect,"GeneratedMusic, classicalMusic, genMusic01, genMusic02, washout, genMusic03, washout",https://www.nature.com/articles/s41598-019-45105-2,1.0.2,Colchester,UK,y,n,2020-04-24 18:49:36,Ian Daly,,10.18112/openneuro.ds002725.v1.0.0,,CC0,TRUE,,,
Kayla,ds004841,n/a,,FALSE,,,Yes,20,,7.3 GB,1034,2,8,,".fdt, .set",EEG,,X,,,,,,,,,,,,,,,,,,,64,10-20,,,,,,,,,6,continuous,Visual,Visual,Motor,Motor,DriveOnMission,,1.8.0,Maryland,USA,y,y,2023-11-13 17:59:29,Kevin King,,doi:10.18112/openneuro.ds004841.v1.0.1,,CC0,FALSE,,,
Kayla,ds004842,n/a,,,,,Yes,14,,5.2 GB,719,2,9,,".fdt, .set",EEG,,X,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,6,continuous,Visual,Visual,Motor,Motor,DriveOnMission,,1.8.0,Maryland,USA,y,y,2023-11-13 18:17:55,Kevin King,,doi:10.18112/openneuro.ds004842.v1.0.0,,CC0,FALSE,,,
Kayla,ds004843,n/a,,,,,Yes,14,,7.7 GB,649,1,7,,".fdt, .set",EEG,,X,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,6,continuous,Visual,Visual,Motor,Motor,VisualSituationalAwareness,,1.8.0,Maryland,USA,y,y,2023-11-13 19:01:55,Kevin King,,doi:10.18112/openneuro.ds004843.v1.0.0,,CC0,FALSE,,,
Kayla,ds004844,n/a,,,,,Yes,17,,22.3 GB,481,4,4,,".fdt, .set",EEG,,X,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,8,continuous,Visual,Visual,Motor,Motor,Drive,,1.8.0,Maryland,USA,y,y,2023-11-13 19:24:20,Kevin King,,doi:10.18112/openneuro.ds004844.v1.0.0,,CC0,FALSE,,,
Kayla,ds004837,n/a,,,,,No,60,,106 GB,243,1,1,"Healthy controls (HC), First-episode Schizophrenia (FESZ), First-episode Affective Psychosis (FEAFF)",.fif,"MEG, MRI",,,X,,X,,,,,,,,,,,,,,,,,,385,,,,,,,,,continuous,Audio,Auditory,Neural source localization,Clinical/Intervention,"attnmod, p_five",,1.1.1,Pittsburgh,USA,n,n,2023-11-02 20:12:01,Fran López-Caballero,,doi:10.18112/openneuro.ds004837.v1.0.0,,CC0,FALSE,R01 MH108568 and MH113533 NIH/United States,All procedures were approved by the University of Pittsburgh IRB and in accordance with the WMA Declaration of Helsinki Ethical Principles for Medical Research Involving Human Subjects.,
Peter,ds004215,Most of the participants are MRI only. Only a subset of the 157 participants have MEG. This is why not all subjects have data quality.,,FALSE,,,No,45,18-89,350.7 GB,12897,1,2,"healthy adults over 18 years of age with ability to read, speak, and understand english",".acq, .bval, .bvec., .cfg, .cls, .de, .mrk, .newds, .res4, .xml, .ds","MEG, MRI","fMRI, blood tests (""func"", ""meg"", ""perf"", ""dwi"", ""anat"")",,X,,X,,,X,,,,,,,,,,X,,,,other,272,,,,,,,1,4,continuous,visual?,Visual,reflex,Motor,airpuff,,1.6.0,Maryland,USA,Y,N,2022-08-05 19:55:55,Arshitha Basavaraj,,doi:10.18112/openneuro.ds004215.v1.0.3,https://nimhresearchvolunteer.ctss.nih.gov ===NEMAR-SEP=== https://github.com/nih-megcore/hv_protocol ===NEMAR-SEP=== doi:10.1016/j.psychres.2020.112822 ===NEMAR-SEP=== doi:10.1101/2021.04.28.21256253 ===NEMAR-SEP=== doi:10.1371/journal.pone.0184661 ===NEMAR-SEP=== doi:10.1038/s41592-018-0235-4,CC0,TRUE,ZICMH002889 ===NEMAR-SEP=== ZICMH002960 ===NEMAR-SEP=== ZIAMH002783 ===NEMAR-SEP=== ZIDMH00291,NIH Institutional Review Board (Recruitment and Characterization of Healthy Research Volunteer for NIMH Intramural Studies NCT033046),
Peter,ds004215,Most of the participants are MRI only. Only a subset of the 157 participants have MEG. This is why not all subjects have data quality.,,FALSE,,,No,45,18-89,350.7 GB,12897,1,2,"healthy adults over 18 years of age with ability to read, speak, and understand english",".acq, .bval, .bvec., .cfg, .cls, .de, .mrk, .newds, .res4, .xml, .ds","MEG, MRI","fMRI, blood tests (""func"", ""meg"", ""perf"", ""dwi"", ""anat"")",,X,,X,,,X,,,,,,,,,,X,,,,other,272,,,,,,,1,4,continuous,visual,Visual,impulsivity ,Decision-making,gonogo,,1.6.0,Maryland,USA,Y,N,2022-08-05 19:55:55,Arshitha Basavaraj,,doi:10.18112/openneuro.ds004215.v1.0.3,https://nimhresearchvolunteer.ctss.nih.gov ===NEMAR-SEP=== https://github.com/nih-megcore/hv_protocol ===NEMAR-SEP=== doi:10.1016/j.psychres.2020.112822 ===NEMAR-SEP=== doi:10.1101/2021.04.28.21256253 ===NEMAR-SEP=== doi:10.1371/journal.pone.0184661 ===NEMAR-SEP=== doi:10.1038/s41592-018-0235-4,CC0,TRUE,ZICMH002889 ===NEMAR-SEP=== ZICMH002960 ===NEMAR-SEP=== ZIAMH002783 ===NEMAR-SEP=== ZIDMH00291,NIH Institutional Review Board (Recruitment and Characterization of Healthy Research Volunteer for NIMH Intramural Studies NCT033046),
Peter,ds004215,Most of the participants are MRI only. Only a subset of the 157 participants have MEG. This is why not all subjects have data quality.,,FALSE,,,No,45,18-89,350.7 GB,12897,1,2,"healthy adults over 18 years of age with ability to read, speak, and understand english",".acq, .bval, .bvec., .cfg, .cls, .de, .mrk, .newds, .res4, .xml, .ds","MEG, MRI","fMRI, blood tests (""func"", ""meg"", ""perf"", ""dwi"", ""anat"")",,X,,X,,,X,,,,,,,,,,X,,,,other,272,,,,,,,1,4,continuous,visual,Visual,face matching,Perception,haririhammer,,1.6.0,Maryland,USA,Y,N,2022-08-05 19:55:55,Arshitha Basavaraj,,doi:10.18112/openneuro.ds004215.v1.0.3,https://nimhresearchvolunteer.ctss.nih.gov ===NEMAR-SEP=== https://github.com/nih-megcore/hv_protocol ===NEMAR-SEP=== doi:10.1016/j.psychres.2020.112822 ===NEMAR-SEP=== doi:10.1101/2021.04.28.21256253 ===NEMAR-SEP=== doi:10.1371/journal.pone.0184661 ===NEMAR-SEP=== doi:10.1038/s41592-018-0235-4,CC0,TRUE,ZICMH002889 ===NEMAR-SEP=== ZICMH002960 ===NEMAR-SEP=== ZIAMH002783 ===NEMAR-SEP=== ZIDMH00291,NIH Institutional Review Board (Recruitment and Characterization of Healthy Research Volunteer for NIMH Intramural Studies NCT033046),
Peter,ds004215,Most of the participants are MRI only. Only a subset of the 157 participants have MEG. This is why not all subjects have data quality.,,FALSE,,,No,45,18-89,350.7 GB,12897,1,2,"healthy adults over 18 years of age with ability to read, speak, and understand english",".acq, .bval, .bvec., .cfg, .cls, .de, .mrk, .newds, .res4, .xml, .ds","MEG, MRI","fMRI, blood tests (""func"", ""meg"", ""perf"", ""dwi"", ""anat"")",,X,,X,,,X,,,,,,,,,,X,,,,other,272,,,,,,,1,4,continuous,visual,Visual,attentional,Attention,movie,,1.6.0,Maryland,USA,Y,N,2022-08-05 19:55:55,Arshitha Basavaraj,,doi:10.18112/openneuro.ds004215.v1.0.3,https://nimhresearchvolunteer.ctss.nih.gov ===NEMAR-SEP=== https://github.com/nih-megcore/hv_protocol ===NEMAR-SEP=== doi:10.1016/j.psychres.2020.112822 ===NEMAR-SEP=== doi:10.1101/2021.04.28.21256253 ===NEMAR-SEP=== doi:10.1371/journal.pone.0184661 ===NEMAR-SEP=== doi:10.1038/s41592-018-0235-4,CC0,TRUE,ZICMH002889 ===NEMAR-SEP=== ZICMH002960 ===NEMAR-SEP=== ZIAMH002783 ===NEMAR-SEP=== ZIDMH00291,NIH Institutional Review Board (Recruitment and Characterization of Healthy Research Volunteer for NIMH Intramural Studies NCT033046),
Peter,ds004215,Most of the participants are MRI only. Only a subset of the 157 participants have MEG. This is why not all subjects have data quality.,,FALSE,,,No,45,18-89,350.7 GB,12897,1,2,"healthy adults over 18 years of age with ability to read, speak, and understand english",".acq, .bval, .bvec., .cfg, .cls, .de, .mrk, .newds, .res4, .xml, .ds","MEG, MRI","fMRI, blood tests (""func"", ""meg"", ""perf"", ""dwi"", ""anat"")",,X,,X,,,X,,,,,,,,,,X,,,,other,272,,,,,,,1,4,continuous,audio,Auditory,attention,Attention,oddball,,1.6.0,Maryland,USA,Y,N,2022-08-05 19:55:55,Arshitha Basavaraj,,doi:10.18112/openneuro.ds004215.v1.0.3,https://nimhresearchvolunteer.ctss.nih.gov ===NEMAR-SEP=== https://github.com/nih-megcore/hv_protocol ===NEMAR-SEP=== doi:10.1016/j.psychres.2020.112822 ===NEMAR-SEP=== doi:10.1101/2021.04.28.21256253 ===NEMAR-SEP=== doi:10.1371/journal.pone.0184661 ===NEMAR-SEP=== doi:10.1038/s41592-018-0235-4,CC0,TRUE,ZICMH002889 ===NEMAR-SEP=== ZICMH002960 ===NEMAR-SEP=== ZIAMH002783 ===NEMAR-SEP=== ZIDMH00291,NIH Institutional Review Board (Recruitment and Characterization of Healthy Research Volunteer for NIMH Intramural Studies NCT033046),
Peter,ds004215,Most of the participants are MRI only. Only a subset of the 157 participants have MEG. This is why not all subjects have data quality.,,FALSE,,,No,45,18-89,350.7 GB,12897,1,2,"healthy adults over 18 years of age with ability to read, speak, and understand english",".acq, .bval, .bvec., .cfg, .cls, .de, .mrk, .newds, .res4, .xml, .ds","MEG, MRI","fMRI, blood tests (""func"", ""meg"", ""perf"", ""dwi"", ""anat"")",,X,,X,,,X,,,,,,,,,,X,,,,other,272,,,,,,,1,4,continuous,visual,Visual,memory,Memory,sternberg,,1.6.0,Maryland,USA,Y,N,2022-08-05 19:55:55,Arshitha Basavaraj,,doi:10.18112/openneuro.ds004215.v1.0.3,https://nimhresearchvolunteer.ctss.nih.gov ===NEMAR-SEP=== https://github.com/nih-megcore/hv_protocol ===NEMAR-SEP=== doi:10.1016/j.psychres.2020.112822 ===NEMAR-SEP=== doi:10.1101/2021.04.28.21256253 ===NEMAR-SEP=== doi:10.1371/journal.pone.0184661 ===NEMAR-SEP=== doi:10.1038/s41592-018-0235-4,CC0,TRUE,ZICMH002889 ===NEMAR-SEP=== ZICMH002960 ===NEMAR-SEP=== ZIAMH002783 ===NEMAR-SEP=== ZIDMH00291,NIH Institutional Review Board (Recruitment and Characterization of Healthy Research Volunteer for NIMH Intramural Studies NCT033046),
Peter,ds004215,Most of the participants are MRI only. Only a subset of the 157 participants have MEG. This is why not all subjects have data quality.,,FALSE,,,No,45,18-89,350.7 GB,12897,1,2,"healthy adults over 18 years of age with ability to read, speak, and understand english",".acq, .bval, .bvec., .cfg, .cls, .de, .mrk, .newds, .res4, .xml, .ds","MEG, MRI","fMRI, blood tests (""func"", ""meg"", ""perf"", ""dwi"", ""anat"")",,X,,X,,,X,,,,,,,,,,X,,,,other,272,,,,,,,1,4,continuous,,Resting state,,Neuroimaging,"Resting state with eyes open, Resting state with reverse blip, rest",,1.6.0,Maryland,USA,Y,N,2022-08-05 19:55:55,Arshitha Basavaraj,,doi:10.18112/openneuro.ds004215.v1.0.3,https://nimhresearchvolunteer.ctss.nih.gov ===NEMAR-SEP=== https://github.com/nih-megcore/hv_protocol ===NEMAR-SEP=== doi:10.1016/j.psychres.2020.112822 ===NEMAR-SEP=== doi:10.1101/2021.04.28.21256253 ===NEMAR-SEP=== doi:10.1371/journal.pone.0184661 ===NEMAR-SEP=== doi:10.1038/s41592-018-0235-4,CC0,TRUE,ZICMH002889 ===NEMAR-SEP=== ZICMH002960 ===NEMAR-SEP=== ZIAMH002783 ===NEMAR-SEP=== ZIDMH00291,NIH Institutional Review Board (Recruitment and Characterization of Healthy Research Volunteer for NIMH Intramural Studies NCT033046),
Peter,ds004215,Most of the participants are MRI only. Only a subset of the 157 participants have MEG. This is why not all subjects have data quality.,,FALSE,,,No,45,18-89,350.7 GB,12897,1,2,"healthy adults over 18 years of age with ability to read, speak, and understand english",".acq, .bval, .bvec., .cfg, .cls, .de, .mrk, .newds, .res4, .xml, .ds","MEG, MRI","fMRI, blood tests (""func"", ""meg"", ""perf"", ""dwi"", ""anat"")",,X,,X,,,X,,,,,,,,,,X,,,,other,272,,,,,,,1,4,continuous,?,,,,artifact,,1.6.0,Maryland,USA,Y,N,2022-08-05 19:55:55,Arshitha Basavaraj,,doi:10.18112/openneuro.ds004215.v1.0.3,https://nimhresearchvolunteer.ctss.nih.gov ===NEMAR-SEP=== https://github.com/nih-megcore/hv_protocol ===NEMAR-SEP=== doi:10.1016/j.psychres.2020.112822 ===NEMAR-SEP=== doi:10.1101/2021.04.28.21256253 ===NEMAR-SEP=== doi:10.1371/journal.pone.0184661 ===NEMAR-SEP=== doi:10.1038/s41592-018-0235-4,CC0,TRUE,ZICMH002889 ===NEMAR-SEP=== ZICMH002960 ===NEMAR-SEP=== ZIAMH002783 ===NEMAR-SEP=== ZIDMH00291,NIH Institutional Review Board (Recruitment and Characterization of Healthy Research Volunteer for NIMH Intramural Studies NCT033046),
Peter,ds004215,Most of the participants are MRI only. Only a subset of the 157 participants have MEG. This is why not all subjects have data quality.,,FALSE,,,No,45,18-89,350.7 GB,12897,1,2,"healthy adults over 18 years of age with ability to read, speak, and understand english",".acq, .bval, .bvec., .cfg, .cls, .de, .mrk, .newds, .res4, .xml, .ds","MEG, MRI","fMRI, blood tests (""func"", ""meg"", ""perf"", ""dwi"", ""anat"")",,X,,X,,,X,,,,,,,,,,X,,,,other,272,,,,,,,1,4,continuous,?,,,,EmptyRoom,,1.6.0,Maryland,USA,Y,N,2022-08-05 19:55:55,Arshitha Basavaraj,,doi:10.18112/openneuro.ds004215.v1.0.3,https://nimhresearchvolunteer.ctss.nih.gov ===NEMAR-SEP=== https://github.com/nih-megcore/hv_protocol ===NEMAR-SEP=== doi:10.1016/j.psychres.2020.112822 ===NEMAR-SEP=== doi:10.1101/2021.04.28.21256253 ===NEMAR-SEP=== doi:10.1371/journal.pone.0184661 ===NEMAR-SEP=== doi:10.1038/s41592-018-0235-4,CC0,TRUE,ZICMH002889 ===NEMAR-SEP=== ZICMH002960 ===NEMAR-SEP=== ZIAMH002783 ===NEMAR-SEP=== ZIDMH00291,NIH Institutional Review Board (Recruitment and Characterization of Healthy Research Volunteer for NIMH Intramural Studies NCT033046),
